_,Id,Name,RecordType,RecordType.Name,BillingLongitude,BillingLatitude
[Account],0013l00002OKxpsAAD,Church of God Seventh Day,[RecordType],Church,-95.295004,29.781346
[Account],0013l00002OKxptAAD,Calvary Missionary Baptist Church,[RecordType],Church,-95.245399,29.76104
[Account],0013l00002OKxpuAAD,Second Baptist Church,[RecordType],Church,-95.243531,29.770445
[Account],0013l00002OKxpvAAD,Munn Street Baptist Church,[RecordType],Church,-95.236284,29.762841
[Account],0013l00002OKxpwAAD,First Baptist Church of Jacinto City,[RecordType],Church,-95.239415,29.766677
[Account],0013l00002OKxpxAAD,Church Family of Hope,[RecordType],Church,-95.290668,29.718311
[Account],0013l00002OKxpyAAD,Church of Lord Jesus Christ,[RecordType],Church,-95.330437,29.782734
[Account],0013l00002OKtbNAAT,Purpose Church,[RecordType],Church,,
[Account],0013l00002GidyEAAR,Fulshear church of Christ,[RecordType],Church,-95.890743,29.702771
[Account],0013l00002GidyGAAR,A Mighty Fortress Lutheran Church,[RecordType],Church,-95.90063,29.695946
[Account],0013l00002GidyHAAR,Thrive Community Church,[RecordType],Church,-95.880253,29.691715
[Account],0013l00002GidyIAAR,Greater Zachery MB Church,[RecordType],Church,-95.903636,29.697783
[Account],0013l00002GidyJAAR,Fulshear Methodist Church,[RecordType],Church,-95.901829,29.693162
[Account],0013l00002GidyKAAR,Temple of Praise Church,[RecordType],Church,-95.881178,29.688136
[Account],0013l00002GidyLAAR,River Bend Baptist Church,[RecordType],Church,-95.860261,29.69459
[Account],0013l00002GidyNAAR,"Second Baptist Church, 1463 Campus",[RecordType],Church,-95.845956,29.709532
[Account],0013l00002GidyPAAR,Live Hope Missionary Baptist Church,[RecordType],Church,-95.9769,29.6791
[Account],0013l00002GidyQAAR,Experience Grace Church,[RecordType],Church,-95.836467,29.70368
[Account],0013l00002GidzcAAB,Central Christian Church,[RecordType],Church,-95.774801,29.562032
[Account],0013l00002GidzdAAB,Peace Lutheran Church,[RecordType],Church,-95.8196,29.5453
[Account],0013l00002GidzeAAB,Mountain Top Ministries,[RecordType],Church,-95.782295,29.563767
[Account],0013l00002GidyRAAR,The Church of Jesus Christ of Latter-day Saints,[RecordType],Church,-95.7524,29.5986
[Account],0013l00002GidySAAR,Christ Church PCA,[RecordType],Church,-95.823607,29.74644
[Account],0013l00002GidziAAB,Kingdom Church,[RecordType],Church,-95.795502,29.556909
[Account],0013l00002GidzkAAB,Sacred Heart Church,[RecordType],Church,-95.760162,29.580446
[Account],0013l00002GidznAAB,Trinity Lutheran Church,[RecordType],Church,-95.794501,29.552625
[Account],0013l00002GidzoAAB,Mt Vernon United Methodist Church,[RecordType],Church,-95.761071,29.576827
[Account],0013l00002GidzpAAB,First Assembly of God,[RecordType],Church,-95.800742,29.55087
[Account],0013l00002GidzqAAB,Latin American Assembly of God,[RecordType],Church,-95.794829,29.551814
[Account],0013l00002GidzNAAR,St. Anne Catholic Church,[RecordType],Church,-95.411932,29.743474
[Account],0013l00002GidzOAAR,Movement Church,[RecordType],Church,-95.422721,29.733565
[Account],0013l00002GidzPAAR,West University Church of Christ,[RecordType],Church,-95.430663,29.724842
[Account],0013l00002GidzQAAR,Outlet Jesus Church,[RecordType],Church,-95.412734,29.749274
[Account],0013l00002Gd3lbAAB,Impact Church of Houston,[RecordType],Church,-95.484328,29.587222
[Account],0013l00002Gd3lcAAB,New Hope Baptist Church,[RecordType],Church,-95.482964,29.590916
[Account],0013l00002Gd3ldAAB,Oracle Of God's Ministries,[RecordType],Church,-95.485119,29.597903
[Account],0013l00002Gd3leAAB,St Mary's Knanaya Catholic Church,[RecordType],Church,-95.480505,29.603469
[Account],0013l00002Gd3lfAAB,True Gospel Church of the Lord,[RecordType],Church,-95.476167,29.583611
[Account],0013l00002Gd3lgAAB,Crossroads Cathedral Church,[RecordType],Church,-95.492959,29.598708
[Account],0013l00002Gd3lhAAB,St Mark Evangelist Catholic,[RecordType],Church,-95.464698,29.595125
[Account],0013l00002Gd3liAAB,S Post Oak Church of Christ,[RecordType],Church,-95.464321,29.607827
[Account],0013l00002Gd3ljAAB,Bethel Advent Church,[RecordType],Church,-95.482287,29.582156
[Account],0013l00002Gd3lkAAB,The Burden Bearer Church,[RecordType],Church,-95.473798,29.581741
[Account],0013l00002Gd3llAAB,Mt Moriah Missionary Baptist Church,[RecordType],Church,-95.460488,29.602254
[Account],0013l00002Gd3lmAAB,Caribbean United Church,[RecordType],Church,-95.470465,29.616625
[Account],0013l00002GidzSAAR,St Stephen's Episcopal Church,[RecordType],Church,-95.40492,29.738101
[Account],0013l00002GidzTAAR,West End Church,[RecordType],Church,-95.408928,29.769338
[Account],0013l00002GidzUAAR,Joel Osteen Ministries,[RecordType],Church,-95.435098,29.730192
[Account],0013l00002GidzVAAR,Neartown Church,[RecordType],Church,-95.402195,29.764195
[Account],0013l00002GidzWAAR,NewSong Fellowship Church,[RecordType],Church,-95.408785,29.752905
[Account],0013l00002Gd3lnAAB,First Phillipine Baptist Church,[RecordType],Church,-95.499659,29.607499
[Account],0013l00002Gd3loAAB,The New Beginnings Church,[RecordType],Church,-95.489499,29.597073
[Account],0013l00002Gd3lpAAB,abbaslove international church,[RecordType],Church,-95.504207,29.601837
[Account],0013l00002Gd3lqAAB,Christ Tabernacle Christian Church,[RecordType],Church,-95.473103,29.615084
[Account],0013l00002Gd3lrAAB,New Abundant Life Church,[RecordType],Church,-95.498403,29.608338
[Account],0013l00002Gd3lsAAB,The Windsor Village Church Family,[RecordType],Church,-95.469648,29.625523
[Account],0013l00002JrYbeAAF,City Rise Missouri City,[RecordType],Church,-95.542816,29.611231
[Account],0013l00002OL5YFAA1,OaK Meadows Community Worship Center,[RecordType],Church,-95.231437,29.683985
[Account],0013l00002OL5YGAA1,St Augustine Catholic Church,[RecordType],Church,-95.236454,29.679012
[Account],0013l00002OL5YHAA1,Meadowbrook Baptist Church,[RecordType],Church,-95.261437,29.680214
[Account],0013l00002OL5YIAA1,First Baptist Church,[RecordType],Church,-95.23697,29.667788
[Account],0013l00002JqtA0AAJ,Iglesia de Dios de la Profecia - Bellaire,[RecordType],Church,-95.48182,29.704131
[Account],0013l00002JqtNYAAZ,All Nations Church,[RecordType],Church,,
[Account],0013l00002JqtInAAJ,Missio Dei Church,[RecordType],Church,-95.6186,30.0966
[Account],0013l00002JqtCaAAJ,Praise and Deliverance Church,[RecordType],Church,-95.184449,29.998762
[Account],0013l00002JqiZcAAJ,Vietnamese New Beginning Church,[RecordType],Church,-95.654508,29.700913
[Account],0013l00002Jr4BQAAZ,Fort Bend Transformation Church,[RecordType],Church,,
[Account],0013l00002JiuoTAAR,Church Shiloh,[RecordType],Church,-95.566531,29.945544
[Account],0013l00002JiuoUAAR,Cornerstone Orthodox Presbyterian Church,[RecordType],Church,-95.552658,29.954572
[Account],0013l00002JiuoVAAR,Community of Christ (NW Houston),[RecordType],Church,-95.56787,29.967447
[Account],0013l00002JiuoWAAR,Real Life Church,[RecordType],Church,-95.553765,29.966562
[Account],0013l00002JiuoXAAR,The MET Church,[RecordType],Church,-95.583232,29.960141
[Account],0013l00002JiuoYAAR,El Shaddai Revival Church,[RecordType],Church,-95.577746,29.943765
[Account],0013l00002JiuoZAAR,The Key Center International Church,[RecordType],Church,-95.550675,29.956945
[Account],0013l00002JiuobAAB,North Houston Baptist Church,[RecordType],Church,-95.573635,29.967804
[Account],0013l00002JiuocAAB,Grace Bible Church of Houston,[RecordType],Church,-95.555371,29.976889
[Account],0013l00002JiuodAAB,Fellowship of Faith Christian Center,[RecordType],Church,-95.584344,29.947595
[Account],0013l00002JiuoeAAB,New Heights Fellowship Church,[RecordType],Church,-95.584205,29.942016
[Account],0013l00002I4ioOAAR,The River UMC,[RecordType],Church,-95.741652,29.69666
[Account],0013l00002I4ioPAAR,The Place Church,[RecordType],Church,-95.663592,29.690422
[Account],0013l00002I4ioQAAR,Good Shepherd Apostolic Church,[RecordType],Church,-95.682712,29.689425
[Account],0013l00002I4ioRAAR,Providence Christian Church Hodges Bend Campus,[RecordType],Church,-95.675505,29.678465
[Account],0013l00002I4faKAAR,True Life Church,[RecordType],Church,-95.8069,29.513854
[Account],0013l00002I4faMAAR,Tower of Refuge Church,[RecordType],Church,-95.837041,29.514897
[Account],0013l00002I4faPAAR,Grace Baptist Church,[RecordType],Church,-95.748649,29.529123
[Account],0013l00002I4faRAAR,The Universal Church,[RecordType],Church,-95.803103,29.554692
[Account],0013l00002I4ioSAAR,Mission Bend Church of Christ,[RecordType],Church,-95.678581,29.671147
[Account],0013l00002I4ioTAAR,Grace International Church,[RecordType],Church,-95.658203,29.699026
[Account],0013l00002I4ioUAAR,Christ the King Episcopal Church,[RecordType],Church,-95.65645,29.699874
[Account],0013l00002I4ioVAAR,City Fellowship Church,[RecordType],Church,-95.657421,29.658341
[Account],0013l00002I4ioWAAR,Kainos Community Church,[RecordType],Church,-95.672137,29.719047
[Account],0013l00002I4ioXAAR,Baptist Church Casa De Dios,[RecordType],Church,-95.672947,29.718301
[Account],0013l00002I4ioYAAR,Family Life Church (Fort Bend),[RecordType],Church,-95.658069,29.654824
[Account],0013l00002I4ioZAAR,Grand Lakes Presbyterian Church,[RecordType],Church,-95.762824,29.713068
[Account],0013l00002OLTdeAAH,The Life Church,[RecordType],Church,-95.394201,29.939963
